customer_id,call_minutes,sms_count,data_gb,roaming_mins,current_plan
C96,1983,434,4.37,191,Plan2
C97,237,267,43.74,74,Plan3
C98,487,326,21.88,253,Plan4
C99,1273,114,28.13,162,Plan8
C100,609,215,13.51,122,Plan1
C101,1301,345,39.02,169,Plan4
C102,555,25,3.87,140,Plan1
C103,755,83,49.58,85,Plan2
C104,836,280,1.35,90,Plan9
C105,436,403,7.08,248,Plan7
C106,1667,270,24.25,78,Plan5
C107,1078,289,7.85,29,Plan6
C108,1968,253,16.39,71,Plan4
C109,826,25,2.0,207,Plan2
C110,1859,463,44.86,279,Plan4
C111,1142,306,43.93,187,Plan7
C112,1920,358,42.51,52,Plan4
C113,207,396,1.5,243,Plan9
C114,1322,162,32.57,19,Plan1
C115,1523,472,23.75,228,Plan1
C116,725,364,33.26,45,Plan7
C117,1333,320,36.74,78,Plan3
C118,1673,58,12.13,42,Plan6
C119,1364,69,43.0,137,Plan1
C120,163,99,6.14,133,Plan9
C121,983,208,23.14,54,Plan1
C122,995,199,49.04,43,Plan9
C123,1504,315,3.41,263,Plan4
C124,1731,254,24.02,204,Plan8
C125,1722,99,34.73,269,Plan7
C126,426,408,34.99,283,Plan2
C127,473,336,45.72,54,Plan9
C128,1531,92,45.14,254,Plan2
C129,640,75,42.58,2,Plan4
C130,528,86,28.13,74,Plan2
C131,1288,71,25.6,286,Plan3
C132,905,467,2.48,224,Plan1
C133,1972,393,45.06,216,Plan7
C134,836,141,20.81,201,Plan9
C135,162,196,11.31,293,Plan10
C136,493,53,44.45,265,Plan6
C137,220,146,7.71,271,Plan5
C138,407,223,2.79,142,Plan1
C139,1763,48,21.87,90,Plan6
C140,447,186,43.76,6,Plan9
C141,452,431,15.01,245,Plan7
C142,1371,201,16.78,254,Plan1
C143,720,407,6.68,243,Plan6
C144,1740,382,25.34,232,Plan1
C145,655,83,47.82,250,Plan5
C146,835,279,47.74,218,Plan6
C147,650,343,1.28,146,Plan2
C148,432,170,33.8,200,Plan10
C149,1616,388,1.06,2,Plan2
C150,904,297,20.78,84,Plan2
C151,1715,187,29.81,63,Plan2
C152,1710,31,48.9,211,Plan7
C153,79,446,38.84,73,Plan10
C154,600,398,5.98,19,Plan1
C155,1088,42,46.02,225,Plan4
C156,1660,399,21.87,295,Plan2
C157,1918,127,3.55,156,Plan9
C158,293,321,21.16,234,Plan10
C159,1020,344,17.31,193,Plan5
C160,789,494,27.45,194,Plan4
C161,1832,58,1.24,286,Plan6
C162,1140,216,42.26,268,Plan10
C163,943,359,21.61,227,Plan3
C164,1916,373,22.03,114,Plan1
C165,486,430,21.53,75,Plan6
C166,988,443,23.5,4,Plan1
C167,1875,216,32.77,133,Plan9
C168,818,360,20.04,161,Plan4
C169,1602,238,19.98,213,Plan3
C170,530,403,16.49,293,Plan8
C171,939,213,13.72,277,Plan2
C172,1860,87,20.39,118,Plan7
C173,1692,454,20.05,261,Plan10
C174,455,481,24.9,258,Plan1
C175,1889,371,24.16,137,Plan3
C176,987,242,46.37,128,Plan2
C177,641,383,46.12,64,Plan2
C178,1868,441,5.81,36,Plan1
C179,1145,250,4.59,24,Plan9
C180,355,72,7.7,98,Plan6
C181,1300,431,25.21,3,Plan5
C182,1463,138,37.39,5,Plan9
C183,604,303,13.63,183,Plan2
C184,965,164,2.02,205,Plan3
C185,973,187,25.26,220,Plan7
C186,588,484,3.7,80,Plan7
C187,570,252,15.1,275,Plan7
C188,1188,27,11.01,211,Plan1
C189,228,259,30.1,152,Plan7
C190,871,256,44.01,35,Plan9
C191,1167,399,14.24,65,Plan2
C192,508,216,13.27,102,Plan10
C193,453,318,44.79,110,Plan5
C194,1216,35,23.01,157,Plan4
C195,1729,156,9.43,71,Plan9
C196,173,37,2.8,234,Plan10
C197,1618,214,2.62,257,Plan4
C198,1509,262,3.16,185,Plan2
C199,215,11,11.74,54,Plan2
C200,1789,10,4.33,79,Plan3
C201,550,16,34.87,86,Plan3
C202,920,308,4.43,223,Plan6
C203,381,395,17.23,276,Plan4
C204,143,150,44.87,41,Plan9
C205,587,58,44.65,9,Plan3
C206,1387,373,42.01,20,Plan7
C207,1511,18,44.56,68,Plan6
C208,652,421,9.18,144,Plan2
C209,1547,281,25.77,162,Plan8
C210,1341,205,12.99,217,Plan4
C211,622,91,34.62,170,Plan8
C212,1240,388,37.57,172,Plan1
C213,1270,430,27.24,94,Plan3
C214,1782,326,6.07,86,Plan7
C215,1906,487,45.72,241,Plan7
C216,143,148,19.36,73,Plan3
C217,1824,155,45.07,132,Plan9
C218,951,150,17.64,231,Plan2
C219,1006,200,25.65,243,Plan2
C220,582,473,13.47,219,Plan6
C221,74,257,48.13,103,Plan10
C222,1493,353,11.36,114,Plan4
C223,671,247,9.63,45,Plan6
C224,275,232,35.43,168,Plan9
C225,1686,62,27.39,136,Plan2
C226,750,275,10.94,50,Plan7
C227,1134,222,8.64,167,Plan4
C228,1101,494,35.58,3,Plan5
C229,1850,339,16.55,273,Plan5
C230,1866,367,37.06,209,Plan5
C231,101,52,33.03,184,Plan6
C232,1327,447,27.91,226,Plan1
C233,143,113,41.1,191,Plan5
C234,1291,406,19.47,133,Plan8
C235,1143,200,12.84,128,Plan1
C236,1165,135,40.15,134,Plan5
C237,785,484,23.49,85,Plan5
C238,1066,319,24.11,16,Plan3
C239,1948,139,13.57,260,Plan4
C240,666,80,39.47,282,Plan4
C241,915,92,6.7,291,Plan9
C242,873,20,23.54,123,Plan7
C243,519,50,45.93,48,Plan10
C244,313,143,26.64,147,Plan2
C245,140,217,8.95,225,Plan9
C246,1053,110,37.58,104,Plan1
C247,415,145,34.73,74,Plan4
C248,316,129,16.35,246,Plan3
C249,213,28,36.0,233,Plan9
C250,1263,186,20.67,5,Plan5
C251,126,464,4.66,142,Plan2
C252,1142,139,15.93,73,Plan9
C253,1595,249,2.55,245,Plan3
C254,884,276,7.87,119,Plan8
C255,241,291,13.55,151,Plan10
C256,1308,322,43.8,232,Plan4
C257,321,200,8.41,218,Plan7
C258,1895,19,9.03,271,Plan9
C259,833,162,20.3,182,Plan10
C260,1138,68,41.28,194,Plan10
C261,1905,480,14.0,200,Plan2
C262,1663,280,23.66,132,Plan8
C263,1315,372,34.45,144,Plan2
C264,1515,108,46.97,164,Plan9
C265,1855,164,27.95,162,Plan2
C266,1409,61,39.43,149,Plan3
C267,1260,464,46.87,3,Plan3
C268,309,481,25.51,123,Plan8
C269,327,137,27.06,142,Plan1
C270,191,343,47.87,19,Plan1
C271,1520,134,7.44,89,Plan5
C272,1832,399,5.36,27,Plan6
C273,1999,31,24.06,93,Plan9
C274,1727,46,13.63,203,Plan5
C275,1444,487,24.42,211,Plan9
C276,1745,292,12.59,153,Plan2
C277,1114,188,32.09,178,Plan4
C278,496,485,12.01,267,Plan9
C279,387,34,33.73,104,Plan6
C280,252,60,2.43,47,Plan6
C281,749,22,21.43,60,Plan5
C282,1759,436,1.84,96,Plan3
C283,664,462,17.55,109,Plan4
C284,307,231,2.83,12,Plan5
C285,1717,81,4.11,107,Plan4
C286,306,165,44.55,292,Plan2
C287,960,36,6.23,284,Plan1
C288,955,67,0.59,36,Plan9
C289,274,290,44.64,261,Plan6
C290,1511,128,6.6,32,Plan10
C291,823,121,46.54,297,Plan10
C292,294,466,19.7,195,Plan10
C293,512,468,10.01,276,Plan5
C294,87,328,28.59,74,Plan9
C295,1812,412,3.88,167,Plan3
C296,1887,478,33.47,11,Plan8
C297,273,313,19.1,53,Plan1
C298,1804,497,33.64,210,Plan7
C299,719,428,31.77,120,Plan9
C300,684,371,10.96,175,Plan10
C301,1228,338,38.38,184,Plan7
C302,1352,174,30.65,18,Plan4
C303,768,31,5.82,242,Plan8
C304,133,293,29.14,9,Plan7
C305,1294,338,32.18,225,Plan4
C306,887,78,24.96,6,Plan1
C307,1327,57,40.21,257,Plan1
C308,1685,119,10.19,2,Plan9
C309,718,331,43.43,81,Plan4
C310,1208,162,12.12,4,Plan7
C311,1762,315,40.59,186,Plan3
C312,684,120,30.47,228,Plan8
C313,1948,96,34.63,70,Plan4
C314,649,224,18.6,80,Plan6
C315,1611,356,36.69,29,Plan9
C316,819,352,2.32,27,Plan10
C317,265,467,3.63,221,Plan9
C318,208,219,14.88,195,Plan10
C319,1282,165,45.51,45,Plan5
C320,1766,90,6.92,53,Plan6
C321,132,55,26.41,213,Plan8
C322,84,283,5.27,234,Plan6
C323,1782,289,14.2,147,Plan4
C324,213,385,40.63,14,Plan1
C325,1273,382,33.42,230,Plan4
C326,759,142,44.53,150,Plan6
C327,1785,316,2.2,161,Plan4
C328,1604,461,29.79,248,Plan1
C329,370,442,34.62,38,Plan1
C330,1859,17,28.83,83,Plan6
C331,685,421,42.53,115,Plan2
C332,1692,148,49.31,100,Plan8
C333,1064,339,49.2,130,Plan7
C334,1397,321,33.82,20,Plan5
C335,1636,297,40.69,152,Plan4
C336,1427,410,11.31,28,Plan2
C337,1896,416,35.45,20,Plan5
C338,424,217,25.29,231,Plan5
C339,1073,147,6.96,278,Plan7
C340,1243,370,19.05,101,Plan10
C341,1976,291,19.62,274,Plan3
C342,345,476,12.8,13,Plan1
C343,549,28,12.96,285,Plan6
C344,1468,294,1.68,145,Plan8
C345,779,80,48.12,271,Plan9
C346,884,482,35.86,138,Plan7
C347,1928,453,23.2,91,Plan9
C348,783,462,45.87,83,Plan4
C349,911,94,13.02,209,Plan3
C350,536,99,11.07,173,Plan9
C351,650,66,1.77,248,Plan4
C352,1563,329,43.62,54,Plan8
C353,99,223,2.47,260,Plan4
C354,1626,334,26.07,268,Plan2
C355,1203,248,26.38,109,Plan9
C356,1606,262,19.89,87,Plan4
C357,237,294,3.38,81,Plan6
C358,125,482,10.67,137,Plan4
C359,1266,186,9.68,219,Plan6
C360,1120,493,9.91,282,Plan4
C361,938,240,10.98,289,Plan6
C362,346,368,43.56,154,Plan8
C363,550,178,40.13,221,Plan4
C364,262,206,28.84,201,Plan1
C365,1933,249,34.72,142,Plan5
C366,999,175,19.26,282,Plan9
C367,794,470,20.57,297,Plan6
C368,995,90,6.83,278,Plan3
C369,1514,120,14.1,19,Plan6
C370,627,284,41.26,227,Plan7
C371,636,101,8.11,257,Plan8
C372,544,311,25.37,215,Plan5
C373,1020,178,15.6,245,Plan5
C374,1256,103,28.11,19,Plan8
C375,1386,386,32.79,58,Plan9
C376,790,24,42.43,177,Plan3
C377,1678,343,17.65,285,Plan5
C378,946,22,41.93,81,Plan1
C379,1402,189,10.51,129,Plan6
C380,198,130,32.21,284,Plan4
C381,244,141,40.57,194,Plan4
C382,488,103,8.4,176,Plan8
C383,1173,470,45.42,287,Plan3
C384,792,179,23.32,211,Plan5
C385,952,192,6.71,124,Plan6
C386,1578,406,13.85,225,Plan3
C387,1298,81,23.14,230,Plan8
C388,112,299,31.98,244,Plan7
C389,1056,490,0.56,20,Plan5
C390,1168,265,2.35,214,Plan8
C391,298,426,25.69,78,Plan5
C392,1133,188,49.77,269,Plan5
C393,1873,355,1.73,126,Plan3
C394,1130,123,14.43,43,Plan9
C395,268,432,3.81,108,Plan2
C396,1343,178,20.67,26,Plan8
C397,681,497,19.07,87,Plan4
C398,1950,427,38.77,149,Plan7
C399,635,448,20.19,173,Plan7
C400,1686,140,47.56,124,Plan3
C401,872,78,20.17,60,Plan10
C402,1647,54,49.17,138,Plan10
C403,1109,111,16.44,283,Plan6
C404,555,396,38.81,24,Plan10
C405,817,222,39.09,239,Plan6
C406,730,468,4.58,96,Plan4
C407,1747,370,32.93,71,Plan4
C408,212,303,10.56,290,Plan2
C409,1946,74,35.9,217,Plan6
C410,1062,438,30.19,209,Plan9
C411,1834,354,48.46,226,Plan4
C412,407,457,40.45,223,Plan6
C413,1015,395,35.08,47,Plan2
C414,752,108,10.71,117,Plan2
C415,145,263,21.43,222,Plan4
C416,897,209,49.12,30,Plan9
C417,1524,42,46.96,126,Plan10
C418,1430,374,49.02,25,Plan2
C419,77,422,18.97,220,Plan10
C420,1095,406,18.69,188,Plan4
C421,1141,242,27.06,65,Plan2
C422,1074,180,39.49,128,Plan6
C423,1261,312,4.77,44,Plan1
C424,299,215,47.3,197,Plan6
C425,1997,342,40.15,114,Plan2
C426,1228,116,17.08,248,Plan4
C427,1678,461,18.98,154,Plan3
C428,1574,86,38.23,0,Plan5
C429,1784,377,15.33,121,Plan10
C430,439,254,46.78,45,Plan3
C431,897,436,20.64,0,Plan8
C432,813,300,21.19,77,Plan4
C433,60,12,28.9,157,Plan7
C434,234,86,0.87,101,Plan6
C435,1754,469,39.13,3,Plan7
C436,1021,93,27.5,5,Plan6
C437,144,328,48.89,28,Plan8
C438,218,407,39.04,62,Plan4
C439,144,155,20.29,153,Plan8
C440,143,414,28.87,47,Plan2
C441,573,430,26.5,209,Plan5
C442,563,489,25.32,16,Plan10
C443,1067,153,27.99,187,Plan10
C444,1534,463,12.87,190,Plan9
C445,941,458,26.61,168,Plan9
C446,214,137,45.8,267,Plan1
C447,555,336,5.13,160,Plan3
C448,1013,105,45.91,145,Plan10
C449,194,413,20.38,81,Plan3
C450,554,305,42.85,30,Plan1
C451,1715,200,15.55,168,Plan3
C452,885,479,25.54,95,Plan6
C453,897,318,43.79,154,Plan3
C454,193,180,3.17,51,Plan5
C455,1747,120,3.8,296,Plan8
C456,68,65,45.97,257,Plan3
C457,1918,135,17.4,106,Plan2
C458,1554,216,32.96,202,Plan9
C459,1209,317,10.65,99,Plan5
C460,89,253,16.99,232,Plan4
C461,792,384,20.24,85,Plan7
C462,238,444,42.05,62,Plan10
C463,1856,465,32.01,41,Plan10
C464,230,215,28.66,251,Plan1
C465,1935,235,34.45,71,Plan9
C466,305,465,42.63,124,Plan6
C467,941,92,18.92,13,Plan3
C468,173,467,43.74,80,Plan9
C469,332,465,5.37,182,Plan3
C470,810,150,28.92,155,Plan1
C471,177,298,24.87,137,Plan1
C472,1818,67,22.58,47,Plan2
C473,1728,32,22.8,211,Plan6
C474,816,310,7.21,8,Plan7
C475,336,151,42.34,20,Plan2
C476,722,66,23.25,172,Plan10
C477,1835,168,17.1,87,Plan2
C478,207,337,4.31,292,Plan7
C479,1722,428,26.16,30,Plan5
C480,1405,105,46.39,263,Plan6
C481,765,398,46.93,3,Plan10
C482,129,171,0.62,229,Plan3
C483,584,433,36.57,121,Plan2
C484,1210,120,27.66,233,Plan4
C485,891,208,34.04,246,Plan9
C486,1407,76,2.74,58,Plan9
C487,1859,77,0.56,211,Plan1
C488,829,211,12.18,228,Plan4
C489,234,132,24.3,22,Plan1
C490,1456,223,21.28,271,Plan7
C491,517,131,37.99,135,Plan9
C492,1319,213,25.49,286,Plan7
C493,492,55,17.55,258,Plan3
C494,623,434,10.0,6,Plan10
C495,421,36,32.8,154,Plan3
C496,1357,229,31.32,98,Plan9
C497,1632,158,44.4,56,Plan2
C498,554,45,8.73,90,Plan10
C499,1507,307,40.87,262,Plan3
C500,1095,161,46.21,196,Plan3
