customer_id,customer_segment,current_plan,current_plan_cost,call_minutes,sms_count,data_gb,roaming_mins,recommendation_rank,recommended_plan,recommended_cost,potential_savings,savings_percentage
C9,Moderate Users,Plan2,1013.94,1534,309,1.03,278,1,Plan1,504.11,509.83000000000004,50.28206797246385
C9,Moderate Users,Plan2,1013.94,1534,309,1.03,278,2,Plan9,752.45,261.49,25.7894944474032
C9,Moderate Users,Plan2,1013.94,1534,309,1.03,278,3,Plan8,888.86,125.08000000000004,12.33603566285974
C10,Data-Heavy Users,Plan9,2607.24,1573,468,44.79,13,1,Plan1,1003.03,1604.2099999999998,61.52904987649775
C10,Data-Heavy Users,Plan9,2607.24,1573,468,44.79,13,2,Plan7,1286.65,1320.5899999999997,50.65087985762722
C10,Data-Heavy Users,Plan9,2607.24,1573,468,44.79,13,3,Plan4,1940.01,667.2299999999998,25.59143001795001
C11,Low Usage,Plan4,1835.1000000000001,1395,240,45.18,110,1,Plan1,952.5400000000001,882.5600000000001,48.09329191869653
C11,Low Usage,Plan4,1835.1000000000001,1395,240,45.18,110,2,Plan7,1107.58,727.5200000000002,39.64470601057164
C11,Low Usage,Plan4,1835.1000000000001,1395,240,45.18,110,3,Plan4,1835.1000000000001,0.0,0.0
C12,Data-Heavy Users,Plan5,1078.27,261,381,16.76,14,1,Plan10,422.96999999999997,655.3,60.77327571016535
C12,Data-Heavy Users,Plan5,1078.27,261,381,16.76,14,2,Plan2,476.41,601.8599999999999,55.817188644773566
C12,Data-Heavy Users,Plan5,1078.27,261,381,16.76,14,3,Plan9,508.53000000000003,569.74,52.83834290112866
C13,Balanced High Users,Plan8,1784.64,695,208,19.01,287,1,Plan9,605.19,1179.45,66.08895911780527
C13,Balanced High Users,Plan8,1784.64,695,208,19.01,287,2,Plan2,706.8399999999999,1077.8000000000002,60.393132508517134
C13,Balanced High Users,Plan8,1784.64,695,208,19.01,287,3,Plan1,739.77,1044.8700000000001,58.547942442173216
C14,Low Usage,Plan5,2347.42,1039,12,47.06,289,1,Plan7,996.0699999999999,1351.3500000000001,57.567457037939526
C14,Low Usage,Plan5,2347.42,1039,12,47.06,289,2,Plan1,1105.86,1241.5600000000002,52.89040734082525
C14,Low Usage,Plan5,2347.42,1039,12,47.06,289,3,Plan4,1786.8300000000002,560.5899999999999,23.88111202937693
C15,Heavy Voice Users,Plan2,632.1,674,97,17.46,106,1,Plan9,538.22,93.88,14.852080367030531
C15,Heavy Voice Users,Plan2,632.1,674,97,17.46,106,2,Plan1,589.3,42.80000000000007,6.7710805252333595
C15,Heavy Voice Users,Plan2,632.1,674,97,17.46,106,3,Plan2,632.1,0.0,0.0
C16,Heavy Voice Users,Plan9,593.35,1197,143,18.95,185,1,Plan9,593.35,0.0,0.0
C16,Heavy Voice Users,Plan9,593.35,1197,143,18.95,185,2,Plan1,665.55,-72.19999999999993,-12.168197522541488
C16,Heavy Voice Users,Plan9,593.35,1197,143,18.95,185,3,Plan2,854.84,-261.49,-44.07011039015758
C17,Heavy Voice Users,Plan6,1871.92,960,87,20.6,68,1,Plan9,570.3600000000001,1301.56,69.53074917731527
C17,Heavy Voice Users,Plan6,1871.92,960,87,20.6,68,2,Plan1,602.76,1269.16,67.79990597888799
C17,Heavy Voice Users,Plan6,1871.92,960,87,20.6,68,3,Plan2,760.4600000000002,1111.46,59.37540065814778
C18,Heavy Voice Users,Plan5,1392.4,1138,98,27.28,34,1,Plan1,665.12,727.2800000000001,52.232117207698934
C18,Heavy Voice Users,Plan5,1392.4,1138,98,27.28,34,2,Plan7,897.79,494.6100000000001,35.522120080436665
C18,Heavy Voice Users,Plan5,1392.4,1138,98,27.28,34,3,Plan4,1051.6299999999999,340.7700000000002,24.47357081298479
C19,Balanced High Users,Plan4,814.28,192,414,18.61,276,1,Plan10,528.72,285.55999999999995,35.06901802819669
C19,Balanced High Users,Plan4,814.28,192,414,18.61,276,2,Plan2,572.9000000000001,241.37999999999988,29.643365918357308
C19,Balanced High Users,Plan4,814.28,192,414,18.61,276,3,Plan9,615.04,199.24,24.468241882399177
C20,Moderate Users,Plan1,486.95000000000005,1545,390,5.83,82,1,Plan1,486.95000000000005,0.0,0.0
C20,Moderate Users,Plan1,486.95000000000005,1545,390,5.83,82,2,Plan9,690.96,-204.01,-41.89547181435465
C20,Moderate Users,Plan1,486.95000000000005,1545,390,5.83,82,3,Plan5,897.79,-410.8399999999999,-84.37005852756954
C21,Heavy Voice Users,Plan6,1687.19,1070,54,18.43,5,1,Plan9,500.85,1186.3400000000001,70.31454667227757
C21,Heavy Voice Users,Plan6,1687.19,1070,54,18.43,5,2,Plan1,529.19,1158.0,68.63483069482393
C21,Heavy Voice Users,Plan6,1687.19,1070,54,18.43,5,3,Plan2,741.25,945.94,56.06600323615005
C22,Low Usage,Plan1,904.6400000000001,161,53,37.84,176,1,Plan7,609.88,294.7600000000001,32.583126989741785
C22,Low Usage,Plan1,904.6400000000001,161,53,37.84,176,2,Plan1,904.6400000000001,0.0,0.0
C22,Low Usage,Plan1,904.6400000000001,161,53,37.84,176,3,Plan10,1177.4800000000002,-272.84000000000015,-30.160063671736836
C23,Balanced High Users,Plan1,541.13,568,166,10.21,170,1,Plan1,541.13,0.0,0.0
C23,Balanced High Users,Plan1,541.13,568,166,10.21,170,2,Plan9,561.9,-20.769999999999982,-3.8382643727015657
C23,Balanced High Users,Plan1,541.13,568,166,10.21,170,3,Plan2,616.56,-75.42999999999995,-13.93934913976308
C24,Heavy Voice Users,Plan5,1603.0299999999997,1401,76,28.97,114,1,Plan1,744.69,858.3399999999997,53.54484944137039
C24,Heavy Voice Users,Plan5,1603.0299999999997,1401,76,28.97,114,2,Plan7,1113.8799999999999,489.14999999999986,30.51408894406218
C24,Heavy Voice Users,Plan5,1603.0299999999997,1401,76,28.97,114,3,Plan4,1181.68,421.3499999999997,26.284598541511993
C25,Data-Heavy Users,Plan6,3706.58,284,368,46.73,166,1,Plan7,665.62,3040.96,82.0422060228027
C25,Data-Heavy Users,Plan6,3706.58,284,368,46.73,166,2,Plan1,1062.41,2644.17,71.33718953860433
C25,Data-Heavy Users,Plan6,3706.58,284,368,46.73,166,3,Plan10,1547.6899999999998,2158.8900000000003,58.24479709057947
C26,Data-Heavy Users,Plan3,2562.5200000000004,1723,337,39.53,52,1,Plan1,863.1700000000001,1699.3500000000004,66.31557997596117
C26,Data-Heavy Users,Plan3,2562.5200000000004,1723,337,39.53,52,2,Plan7,1319.26,1243.2600000000004,48.51708474470444
C26,Data-Heavy Users,Plan3,2562.5200000000004,1723,337,39.53,52,3,Plan4,1736.48,826.0400000000004,32.235455723272416
C27,Moderate Users,Plan9,2137.75,1229,413,39.76,178,1,Plan1,1014.64,1123.1100000000001,52.537013214828676
C27,Moderate Users,Plan9,2137.75,1229,413,39.76,178,2,Plan7,1137.5800000000002,1000.1699999999998,46.78610688808325
C27,Moderate Users,Plan9,2137.75,1229,413,39.76,178,3,Plan4,1693.56,444.19000000000005,20.77838849257397
C28,Heavy Voice Users,Plan10,996.84,1445,139,1.16,51,1,Plan1,337.79999999999995,659.0400000000001,66.11291681714218
C28,Heavy Voice Users,Plan10,996.84,1445,139,1.16,51,2,Plan9,635.53,361.31000000000006,36.24553589342322
C28,Heavy Voice Users,Plan10,996.84,1445,139,1.16,51,3,Plan5,654.52,342.32000000000005,34.34051603065688
C29,Low Usage,Plan5,1799.29,130,85,34.39,214,1,Plan7,633.8199999999999,1165.47,64.77388303164025
C29,Low Usage,Plan5,1799.29,130,85,34.39,214,2,Plan1,887.1499999999999,912.1400000000001,50.69444058489738
C29,Low Usage,Plan5,1799.29,130,85,34.39,214,3,Plan10,1060.79,738.5,41.04396734267405
C30,Balanced High Users,Plan6,983.74,919,219,5.89,258,1,Plan1,548.3299999999999,435.4100000000001,44.260678634598584
C30,Balanced High Users,Plan6,983.74,919,219,5.89,258,2,Plan9,594.46,389.28,39.571431475796444
C30,Balanced High Users,Plan6,983.74,919,219,5.89,258,3,Plan5,721.48,262.26,26.659483196779636
C31,Balanced High Users,Plan9,2207.51,116,449,40.54,278,1,Plan7,789.64,1417.8700000000003,64.22938061435737
C31,Balanced High Users,Plan9,2207.51,116,449,40.54,278,2,Plan1,1124.14,1083.3700000000001,49.07656137458041
C31,Balanced High Users,Plan9,2207.51,116,449,40.54,278,3,Plan10,1330.72,876.7900000000002,39.71850637143207
C32,Heavy Voice Users,Plan8,1898.7199999999998,1403,210,18.88,141,1,Plan1,632.96,1265.7599999999998,66.66385775680457
C32,Heavy Voice Users,Plan8,1898.7199999999998,1403,210,18.88,141,2,Plan9,653.29,1245.4299999999998,65.59313642875199
C32,Heavy Voice Users,Plan8,1898.7199999999998,1403,210,18.88,141,3,Plan2,914.78,983.9399999999998,51.82122693182776
C33,Moderate Users,Plan1,936.8599999999999,1204,304,36.66,241,1,Plan1,936.8599999999999,0.0,0.0
C33,Moderate Users,Plan1,936.8599999999999,1204,304,36.66,241,2,Plan7,1089.58,-152.72000000000003,-16.301261661294113
C33,Moderate Users,Plan1,936.8599999999999,1204,304,36.66,241,3,Plan4,1542.74,-605.8800000000001,-64.6713489742331
C34,Heavy Voice Users,Plan9,1172.55,1858,34,24.86,78,1,Plan1,665.34,507.2099999999999,43.25700396571574
C34,Heavy Voice Users,Plan9,1172.55,1858,34,24.86,78,2,Plan4,1127.47,45.07999999999993,3.8446121700567075
C34,Heavy Voice Users,Plan9,1172.55,1858,34,24.86,78,3,Plan9,1172.55,0.0,0.0
C35,Balanced High Users,Plan2,808.49,1028,372,7.96,163,1,Plan1,559.28,249.21000000000004,30.82412893171221
C35,Balanced High Users,Plan2,808.49,1028,372,7.96,163,2,Plan9,561.05,247.44000000000005,30.60520229069006
C35,Balanced High Users,Plan2,808.49,1028,372,7.96,163,3,Plan2,808.49,0.0,0.0
C36,Heavy Voice Users,Plan3,1069.24,1364,124,7.04,85,1,Plan1,438.71999999999997,630.52,58.96898731809509
C36,Heavy Voice Users,Plan3,1069.24,1364,124,7.04,85,2,Plan9,618.1400000000001,451.0999999999999,42.18884441285398
C36,Heavy Voice Users,Plan3,1069.24,1364,124,7.04,85,3,Plan5,700.24,369.0,34.51049343458905
C37,Heavy Voice Users,Plan1,617.02,1807,200,23.58,34,1,Plan1,617.02,0.0,0.0
C37,Heavy Voice Users,Plan1,617.02,1807,200,23.58,34,2,Plan9,1038.8399999999997,-421.8199999999997,-68.36407247739129
C37,Heavy Voice Users,Plan1,617.02,1807,200,23.58,34,3,Plan4,1117.1799999999998,-500.15999999999985,-81.06058150465137
C38,Low Usage,Plan8,2623.68,60,16,31.08,174,1,Plan7,608.62,2015.06,76.80281131845346
C38,Low Usage,Plan8,2623.68,60,16,31.08,174,2,Plan1,815.3199999999999,1808.36,68.924563971216
C38,Low Usage,Plan8,2623.68,60,16,31.08,174,3,Plan10,912.8999999999999,1710.78,65.20536040980608
C39,Balanced High Users,Plan3,800.21,395,252,4.8,202,1,Plan1,493.84,306.37000000000006,38.286199872533466
C39,Balanced High Users,Plan3,800.21,395,252,4.8,202,2,Plan2,564.39,235.82000000000005,29.469764186900942
C39,Balanced High Users,Plan3,800.21,395,252,4.8,202,3,Plan9,573.74,226.47000000000003,28.301320903262894
C40,Low Usage,Plan5,2060.17,601,36,43.35,91,1,Plan7,595.39,1464.7800000000002,71.09995777047527
C40,Low Usage,Plan5,2060.17,601,36,43.35,91,2,Plan1,915.07,1145.1,55.58279171136362
C40,Low Usage,Plan5,2060.17,601,36,43.35,91,3,Plan4,1506.99,553.1800000000001,26.851182183994528
C41,Heavy Voice Users,Plan2,566.98,595,155,15.16,9,1,Plan1,489.56000000000006,77.41999999999996,13.654802638541033
C41,Heavy Voice Users,Plan2,566.98,595,155,15.16,9,2,Plan9,502.33,64.65000000000003,11.40251860735829
C41,Heavy Voice Users,Plan2,566.98,595,155,15.16,9,3,Plan7,539.9499999999999,27.030000000000086,4.767363928180903
C42,Low Usage,Plan8,2738.2400000000002,1404,54,29.96,219,1,Plan1,833.1600000000001,1905.0800000000002,69.5731564800748
C42,Low Usage,Plan8,2738.2400000000002,1404,54,29.96,219,2,Plan7,1181.92,1556.3200000000002,56.836508122005384
C42,Low Usage,Plan8,2738.2400000000002,1404,54,29.96,219,3,Plan4,1239.08,1499.1600000000003,54.749035877059725
C43,Balanced High Users,Plan7,590.83,239,290,20.45,129,1,Plan10,484.22999999999996,106.60000000000008,18.042414907841522
C43,Balanced High Users,Plan7,590.83,239,290,20.45,129,2,Plan2,507.10999999999996,83.72000000000008,14.169896586158467
C43,Balanced High Users,Plan7,590.83,239,290,20.45,129,3,Plan9,581.38,9.450000000000045,1.599444848772074
C44,Balanced High Users,Plan10,467.15,124,137,15.6,145,1,Plan2,452.65,14.5,3.1039280744942737
C44,Balanced High Users,Plan10,467.15,124,137,15.6,145,2,Plan10,467.15,0.0,0.0
C44,Balanced High Users,Plan10,467.15,124,137,15.6,145,3,Plan9,552.65,-85.5,-18.30247243925934
C45,Low Usage,Plan1,928.01,1061,160,37.81,209,1,Plan1,928.01,0.0,0.0
C45,Low Usage,Plan1,928.01,1061,160,37.81,209,2,Plan7,959.53,-31.519999999999982,-3.39651512375944
C45,Low Usage,Plan1,928.01,1061,160,37.81,209,3,Plan4,1480.53,-552.52,-59.538151528539565
C46,Data-Heavy Users,Plan8,3024.44,549,476,34.25,15,1,Plan7,648.07,2376.37,78.57223155360991
C46,Data-Heavy Users,Plan8,3024.44,549,476,34.25,15,2,Plan1,873.53,2150.91,71.11762838740394
C46,Data-Heavy Users,Plan8,3024.44,549,476,34.25,15,3,Plan10,1114.55,1909.89,63.14854981418048
C47,Moderate Users,Plan9,2668.87,1715,317,44.36,207,1,Plan1,1022.3599999999999,1646.51,61.693151033958195
C47,Moderate Users,Plan9,2668.87,1715,317,44.36,207,2,Plan7,1398.6700000000003,1270.1999999999996,47.59317613821579
C47,Moderate Users,Plan9,2668.87,1715,317,44.36,207,3,Plan4,1935.3700000000001,733.4999999999998,27.483541723650827
C48,Data-Heavy Users,Plan3,1457.61,952,483,14.64,63,1,Plan9,556.2399999999999,901.37,61.83890066615899
C48,Data-Heavy Users,Plan3,1457.61,952,483,14.64,63,2,Plan1,658.48,799.1299999999999,54.82467875494817
C48,Data-Heavy Users,Plan3,1457.61,952,483,14.64,63,3,Plan10,772.73,684.8799999999999,46.98650530663209
C49,Data-Heavy Users,Plan8,4214.280000000001,816,470,48.28,66,1,Plan7,844.45,3369.830000000001,79.96217621989997
C49,Data-Heavy Users,Plan8,4214.280000000001,816,470,48.28,66,2,Plan1,1088.08,3126.2000000000007,74.1811175337187
C49,Data-Heavy Users,Plan8,4214.280000000001,816,470,48.28,66,3,Plan10,1811.18,2403.1000000000004,57.02278918344296
C50,Balanced High Users,Plan5,642.91,104,214,7.49,65,1,Plan2,423.05,219.85999999999996,34.19763263909412
C50,Balanced High Users,Plan5,642.91,104,214,7.49,65,2,Plan10,429.55,213.35999999999996,33.18660465695042
C50,Balanced High Users,Plan5,642.91,104,214,7.49,65,3,Plan1,430.17,212.73999999999995,33.090168141730565
C51,Balanced High Users,Plan1,575.4499999999999,688,239,12.85,170,1,Plan9,561.9,13.549999999999955,2.3546789469111054
C51,Balanced High Users,Plan1,575.4499999999999,688,239,12.85,170,2,Plan1,575.4499999999999,0.0,0.0
C51,Balanced High Users,Plan1,575.4499999999999,688,239,12.85,170,3,Plan2,660.9599999999999,-85.50999999999999,-14.859675036927623
C52,Heavy Voice Users,Plan9,528.6,449,78,13.66,80,1,Plan1,521.1800000000001,7.419999999999959,1.403707907680658
C52,Heavy Voice Users,Plan9,528.6,449,78,13.66,80,2,Plan9,528.6,0.0,0.0
C52,Heavy Voice Users,Plan9,528.6,449,78,13.66,80,3,Plan2,539.23,-10.629999999999995,-2.0109723798713572
C53,Moderate Users,Plan1,525.98,1764,214,8.38,182,1,Plan1,525.98,0.0,0.0
C53,Moderate Users,Plan1,525.98,1764,214,8.38,182,2,Plan9,802.0300000000001,-276.05000000000007,-52.482984143883805
C53,Moderate Users,Plan1,525.98,1764,214,8.38,182,3,Plan4,1018.61,-492.63,-93.65945473211909
C54,Data-Heavy Users,Plan9,2305.1499999999996,489,197,43.37,18,1,Plan7,510.34,1794.8099999999997,77.86087673253368
C54,Data-Heavy Users,Plan9,2305.1499999999996,489,197,43.37,18,2,Plan1,862.77,1442.3799999999997,62.57206689369455
C54,Data-Heavy Users,Plan9,2305.1499999999996,489,197,43.37,18,3,Plan10,1443.44,861.7099999999996,37.38194911394051
C55,Moderate Users,Plan1,802.0799999999999,1551,297,29.12,191,1,Plan1,802.0799999999999,0.0,0.0
C55,Moderate Users,Plan1,802.0799999999999,1551,297,29.12,191,2,Plan7,1272.07,-469.99,-58.59639936165969
C55,Moderate Users,Plan1,802.0799999999999,1551,297,29.12,191,3,Plan4,1336.5300000000002,-534.4500000000003,-66.63300418910836
C56,Moderate Users,Plan4,1266.5600000000002,1795,492,23.79,104,1,Plan1,813.79,452.7700000000002,35.74801035876707
C56,Moderate Users,Plan4,1266.5600000000002,1795,492,23.79,104,2,Plan9,1113.0099999999998,153.5500000000004,12.12338933804955
C56,Moderate Users,Plan4,1266.5600000000002,1795,492,23.79,104,3,Plan4,1266.5600000000002,0.0,0.0
C57,Balanced High Users,Plan5,1568.25,1016,239,27.48,246,1,Plan1,820.36,747.89,47.68946277698071
C57,Balanced High Users,Plan5,1568.25,1016,239,27.48,246,2,Plan7,954.49,613.76,39.136617248525425
C57,Balanced High Users,Plan5,1568.25,1016,239,27.48,246,3,Plan4,1141.57,426.68000000000006,27.207396779850157
C58,Low Usage,Plan5,2257.3999999999996,651,253,44.19,285,1,Plan7,749.1099999999999,1508.2899999999997,66.81536280676885
C58,Low Usage,Plan5,2257.3999999999996,651,253,44.19,285,2,Plan1,1065.67,1191.7299999999996,52.792150261362615
C58,Low Usage,Plan5,2257.3999999999996,651,253,44.19,285,3,Plan4,1674.31,583.0899999999997,25.83015858952777
C59,Moderate Users,Plan2,937.4699999999999,1157,420,15.43,284,1,Plan9,630.84,306.6299999999999,32.708246663893235
C59,Moderate Users,Plan2,937.4699999999999,1157,420,15.43,284,2,Plan1,779.99,157.4799999999999,16.798404215601558
C59,Moderate Users,Plan2,937.4699999999999,1157,420,15.43,284,3,Plan2,937.4699999999999,0.0,0.0
C60,Low Usage,Plan8,4236.5199999999995,1388,148,48.34,188,1,Plan1,1049.78,3186.74,75.22070000849754
C60,Low Usage,Plan8,4236.5199999999995,1388,148,48.34,188,2,Plan7,1152.31,3084.2099999999996,72.80055328429937
C60,Low Usage,Plan8,4236.5199999999995,1388,148,48.34,188,3,Plan4,1924.7100000000003,2311.8099999999995,54.568608197294
C61,Heavy Voice Users,Plan10,1413.71,1732,126,26.23,134,1,Plan1,723.47,690.24,48.824723599606706
C61,Heavy Voice Users,Plan10,1413.71,1732,126,26.23,134,2,Plan4,1185.77,227.94000000000005,16.1235331149953
C61,Heavy Voice Users,Plan10,1413.71,1732,126,26.23,134,3,Plan9,1252.1399999999999,161.57000000000016,11.428793741290658
C62,Balanced High Users,Plan1,446.73999999999995,888,248,3.06,168,1,Plan1,446.73999999999995,0.0,0.0
C62,Balanced High Users,Plan1,446.73999999999995,888,248,3.06,168,2,Plan9,561.16,-114.42000000000002,-25.61221292026683
C62,Balanced High Users,Plan1,446.73999999999995,888,248,3.06,168,3,Plan5,641.4000000000001,-194.66000000000014,-43.5734431660474
C63,Data-Heavy Users,Plan2,1431.56,920,437,30.29,125,1,Plan1,871.61,559.9499999999999,39.11467210595434
C63,Data-Heavy Users,Plan2,1431.56,920,437,30.29,125,2,Plan7,925.36,506.19999999999993,35.36002682388443
C63,Data-Heavy Users,Plan2,1431.56,920,437,30.29,125,3,Plan10,1186.1799999999998,245.3800000000001,17.14074156863842
C64,Moderate Users,Plan10,1134.08,1597,221,9.07,191,1,Plan1,541.43,592.65,52.25821811512416
C64,Moderate Users,Plan10,1134.08,1597,221,9.07,191,2,Plan9,743.5699999999999,390.51,34.434078724604966
C64,Moderate Users,Plan10,1134.08,1597,221,9.07,191,3,Plan4,985.3499999999999,148.73000000000002,13.114595090293458
C65,Heavy Voice Users,Plan7,1221.61,1597,171,22.55,89,1,Plan1,643.2300000000001,578.3799999999998,47.34571589950965
C65,Heavy Voice Users,Plan7,1221.61,1597,171,22.55,89,2,Plan9,902.18,319.42999999999995,26.14827972920981
C65,Heavy Voice Users,Plan7,1221.61,1597,171,22.55,89,3,Plan4,1031.69,189.91999999999985,15.546696572555879
C66,Balanced High Users,Plan5,1272.7,185,180,21.46,183,1,Plan10,541.95,730.75,57.41730179932427
C66,Balanced High Users,Plan5,1272.7,185,180,21.46,183,2,Plan2,568.72,703.98,55.31389958356251
C66,Balanced High Users,Plan5,1272.7,185,180,21.46,183,3,Plan7,614.29,658.4100000000001,51.73332285691836
C67,Heavy Voice Users,Plan3,1395.47,1648,56,12.56,175,1,Plan1,575.28,820.19,58.77517968856372
C67,Heavy Voice Users,Plan3,1395.47,1648,56,12.56,175,2,Plan9,756.52,638.95,45.78744079055802
C67,Heavy Voice Users,Plan3,1395.47,1648,56,12.56,175,3,Plan4,926.52,468.95000000000005,33.60516528481444
C68,Heavy Voice Users,Plan1,950.8,1981,203,44.16,50,1,Plan1,950.8,0.0,0.0
C68,Heavy Voice Users,Plan1,950.8,1981,203,44.16,50,2,Plan7,1438.96,-488.1600000000001,-51.342027766091725
C68,Heavy Voice Users,Plan1,950.8,1981,203,44.16,50,3,Plan4,1903.08,-952.28,-100.15565839293228
C69,Moderate Users,Plan1,908.45,1856,291,42.01,106,1,Plan1,908.45,0.0,0.0
C69,Moderate Users,Plan1,908.45,1856,291,42.01,106,2,Plan7,1406.71,-498.26,-54.847267323463036
C69,Moderate Users,Plan1,908.45,1856,291,42.01,106,3,Plan4,1848.53,-940.0799999999999,-103.48175463701908
C70,Heavy Voice Users,Plan9,789.8199999999999,1822,190,6.13,91,1,Plan1,431.21,358.60999999999996,45.4040161049353
C70,Heavy Voice Users,Plan9,789.8199999999999,1822,190,6.13,91,2,Plan9,789.8199999999999,0.0,0.0
C70,Heavy Voice Users,Plan9,789.8199999999999,1822,190,6.13,91,3,Plan8,951.5,-161.68000000000006,-20.470486946392857
C71,Moderate Users,Plan3,1972.3200000000002,1978,282,20.37,210,1,Plan1,754.5699999999999,1217.7500000000002,61.7420094102377
C71,Moderate Users,Plan3,1972.3200000000002,1978,282,20.37,210,2,Plan9,920.0600000000002,1052.26,53.3513831426949
C71,Moderate Users,Plan3,1972.3200000000002,1978,282,20.37,210,3,Plan4,1117.51,854.8100000000002,43.34033016954653
C72,Heavy Voice Users,Plan8,1654.08,1099,292,16.42,71,1,Plan9,525.27,1128.81,68.24397852582705
C72,Heavy Voice Users,Plan8,1654.08,1099,292,16.42,71,2,Plan1,550.58,1103.5,66.71382278970788
C72,Heavy Voice Users,Plan8,1654.08,1099,292,16.42,71,3,Plan2,776.4,877.68,53.061520603598375
C73,Balanced High Users,Plan4,828.46,57,441,17.75,286,1,Plan10,533.42,295.0400000000001,35.61306520532072
C73,Balanced High Users,Plan4,828.46,57,441,17.75,286,2,Plan2,581.5799999999999,246.8800000000001,29.799869637640935
C73,Balanced High Users,Plan4,828.46,57,441,17.75,286,3,Plan9,626.5699999999999,201.8900000000001,24.369311735026443
C74,Moderate Users,Plan10,2047.9799999999998,1602,272,42.65,251,1,Plan1,1021.17,1026.81,50.13769665719392
C74,Moderate Users,Plan10,2047.9799999999998,1602,272,42.65,251,2,Plan7,1326.8200000000002,721.1599999999996,35.21323450424319
C74,Moderate Users,Plan10,2047.9799999999998,1602,272,42.65,251,3,Plan4,1838.14,209.8399999999997,10.246193810486416
C75,Balanced High Users,Plan10,899.1,98,302,29.75,255,1,Plan7,678.13,220.97000000000003,24.576799021243467
C75,Balanced High Users,Plan10,899.1,98,302,29.75,255,2,Plan1,856.35,42.75,4.754754754754755
C75,Balanced High Users,Plan10,899.1,98,302,29.75,255,3,Plan10,899.1,0.0,0.0
C76,Moderate Users,Plan8,1380.3400000000001,1293,306,12.13,166,1,Plan1,565.49,814.8500000000001,59.03255719605315
C76,Moderate Users,Plan8,1380.3400000000001,1293,306,12.13,166,2,Plan9,621.8399999999999,758.5000000000002,54.95022965356362
C76,Moderate Users,Plan8,1380.3400000000001,1293,306,12.13,166,3,Plan2,883.3299999999999,497.0100000000002,36.006346262515045
C77,Balanced High Users,Plan2,562.91,499,275,1.47,94,1,Plan1,372.79,190.11999999999995,33.77449325824731
C77,Balanced High Users,Plan2,562.91,499,275,1.47,94,2,Plan9,533.78,29.129999999999995,5.174894743387042
C77,Balanced High Users,Plan2,562.91,499,275,1.47,94,3,Plan7,558.88,4.029999999999973,0.7159226164040385
